Fecha de despacho Solicitada,node_id,n_pedidos,monto_total_nodo_dia,volumen_total_nodo_dia_m3,peso_total_nodo_dia_kg,lat_final,lon_final,direccion_normalizada,node_id_deposito,lat_deposito,lon_deposito,fecha,uso_capacidad_vol_pct,uso_capacidad_peso_pct,excede_volumen_camion,excede_peso_camion,dist_deposito_km,angulo_rad,angulo_grados,sector_angular,carga_relativa_max,cluster_id_global,cluster_id_dia,vol_acum_cluster,peso_acum_cluster,nodos_acum_cluster,ventana,score_exigencia
2026-12-02,859,1,99454,0.283872,44.655,-33.42649830229008,-70.61543438396947,Av. Providencia 1687,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0063082666666666,0.005954,False,False,6.668447217836671,0.013724539960758,0.786358215510063,0,0.0063082666666666,1,1,0.283872,44.655,1,AM,14.217727218246337
2026-12-02,439,1,311310,0.473768,66.528,-33.393217,-70.544274,Av. Las Condes 1523,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0105281777777777,0.0088704,False,False,13.80998432855826,0.2351856518552615,13.475145253339631,0,0.0105281777777777,1,1,0.7576400000000001,111.183,2,AM,14.217727218246337
2026-12-02,470,1,142258,0.342226,50.063,-33.38904613999576,-70.54005416426546,Av. Las Condes 6424,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0076050222222222,0.0066750666666666,False,False,14.318723105197344,0.2553807276129263,14.632237861200736,0,0.0076050222222222,1,1,1.099866,161.246,3,AM,14.217727218246337
2026-12-02,2100,1,229807,0.685564,92.04,-33.442098310000006,-70.70665943,Calle Santo Domingo 5170,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0152347555555555,0.012272,False,False,2.423626861242421,-2.495443184565337,217.02163750972045,4,0.0152347555555555,1,1,1.78543,253.286,4,AM,14.217727218246337
2026-12-02,777,1,206890,1.07184,152.983,-33.4792076,-70.7426405,Av. Pajaritos 4700,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0238186666666666,0.0203977333333333,False,False,7.710725657941107,-2.390136116718657,223.055288050233,4,0.0238186666666666,1,1,2.85727,406.269,5,AM,14.217727218246337
2026-12-02,1489,1,319547,1.315903,190.574,-33.49914056964457,-70.7238758170349,Calle Arturo Prat 2535,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0292422888888888,0.0254098666666666,False,False,8.660786689848992,-2.042963253075347,242.9468278984655,5,0.0292422888888888,1,1,4.173173,596.8430000000001,6,AM,14.217727218246337
2026-12-02,2137,1,132830,0.944574,143.076,-33.436656955578805,-70.65568127045138,Calle Teatinos 1289,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0209905333333333,0.0190767999999999,False,False,3.104696628351146,-0.2825052362668264,343.8136422715647,7,0.0209905333333333,1,1,5.1177470000000005,739.9190000000001,7,AM,14.217727218246337
2026-12-02,1795,1,158040,0.830639,111.969,-33.43969907361054,-70.65168277752262,Calle Huérfanos 7037,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0184586444444444,0.0149291999999999,False,False,3.571692109400136,-0.330533726252171,341.0618124990181,7,0.0184586444444444,1,1,5.948386,851.8880000000001,8,AM,14.217727218246337
2026-12-02,2017,1,239305,0.959125,192.0,-33.459257552083336,-70.64931600624999,Calle San Diego 1071,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0213138888888888,0.0256,False,False,4.989073803602398,-0.6968378428289712,320.07413260089936,7,0.0256,1,1,6.907511,1043.888,9,AM,14.217727218246337
2026-12-02,1081,1,47974,0.009038,5.232,-33.44289517142857,-70.63342082571428,Av. Vicuña Mackenna 154,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0002008444444444,0.0006976,False,False,5.283500123951548,-0.2786773905536094,344.03296167555925,7,0.0006976,1,1,6.916549000000001,1049.12,10,AM,14.217727218246337
2026-12-02,717,1,123929,1.260186,188.366,-33.45799120274538,-70.64211682398948,Av. Matta 5370,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0280041333333333,0.0251154666666666,False,False,5.391488480207241,-0.5940643214956075,325.9626216189988,7,0.0280041333333333,1,1,8.176735,1237.486,11,AM,14.217727218246337
2026-12-02,1064,1,211246,0.7692950000000001,132.673,-33.4554611,-70.5566262,Av. Tobalaba 8026,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.0170954444444444,0.0176897333333333,False,False,12.515811538169917,-0.2109405957225512,347.9139941371225,7,0.0176897333333333,1,1,8.94603,1370.159,12,AM,14.217727218246337
