Fecha de despacho Solicitada,cluster_id_dia,ventana,node_id,lat_final,lon_final,volumen_total_nodo_dia_m3,peso_total_nodo_dia_kg,n_pedidos,node_id_deposito,lat_deposito,lon_deposito
2026-12-02,1,AM,859,-33.42649830229008,-70.61543438396947,0.283872,44.655,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,439,-33.393217,-70.544274,0.473768,66.528,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,470,-33.38904613999576,-70.54005416426546,0.342226,50.063,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,2100,-33.442098310000006,-70.70665943,0.685564,92.04,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,777,-33.4792076,-70.7426405,1.07184,152.983,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,1489,-33.49914056964457,-70.7238758170349,1.315903,190.574,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,419,-33.519235429031845,-70.58115079491817,1.183075,129.178,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,2017,-33.459257552083336,-70.64931600624999,0.959125,192.0,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,124,-33.5103234,-70.5845273,3.098963,400.866,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,717,-33.45799120274538,-70.64211682398948,1.260186,188.366,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,1795,-33.43969907361054,-70.65168277752262,0.830639,111.969,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,2137,-33.436656955578805,-70.65568127045138,0.944574,143.076,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,1081,-33.44289517142857,-70.63342082571428,0.009038,5.232,1,0,-33.42748443128771,-70.68728138816309
2026-12-02,1,AM,1064,-33.4554611,-70.5566262,0.7692950000000001,132.673,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,1408,-33.4178406,-70.6052487,0.195999,24.471,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,69,-33.4146429,-70.5862581,0.4828319999999999,56.571,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,88,-33.4079671,-70.5555604,0.031416,10.192,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,99,-33.41052665057889,-70.57323806478458,0.074669,16.676000000000002,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,75,-33.4096712,-70.5703756,0.16881,34.907,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,1240,-33.4055216,-70.5917304,0.230482,31.394,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,440,-33.393217,-70.544274,1.450181,222.207,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,351,-33.3964731,-70.5674161,0.866797,120.397,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,466,-33.38904613999576,-70.54005416426546,2.018805,255.632,1,0,-33.42748443128771,-70.68728138816309
2026-12-03,1,AM,359,-33.3938224,-70.5593847,2.218962,256.803,1,0,-33.42748443128771,-70.68728138816309
