fecha,ventana,cluster_id_dia,n_nodos_cluster,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas_cluster,km_totales_cluster,ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
2026-12-02,AM,1,14,13.228,1900.203,2,94.415,1,"[0, 2100, 2137, 1795, 2017, 717, 1081, 859, 1064, 124, 0]",9,8.841,1310.877,41.116,1.72,1.5,0.0,3.22,98.24,43.7
2026-12-02,AM,1,14,13.228,1900.203,2,94.415,2,"[0, 777, 1489, 419, 439, 470, 0]",5,4.387,589.326,53.299,2.132,0.833,0.5,3.465,48.74,19.64
2026-12-03,AM,1,18,17.583,2493.972,2,62.198,1,"[0, 217, 215, 1408, 1240, 69, 99, 75, 351, 359, 88, 440, 466, 0]",12,8.81,1234.21,37.949,1.544,2.0,0.0,3.544,97.89,41.14
2026-12-03,AM,1,18,17.583,2493.972,2,62.198,2,"[0, 780, 783, 795, 805, 766, 1960, 0]",6,8.773,1259.762,24.249,0.97,1.0,0.0,1.97,97.48,41.99
2026-12-03,AM,2,18,28.882,4209.619,4,141.453,1,"[0, 665, 2108, 2126, 510, 860, 112, 2052, 1479, 988, 1124, 0]",10,8.864,1491.308,44.343,1.976,1.667,0.0,3.643,98.49,49.71
2026-12-03,AM,2,18,28.882,4209.619,4,141.453,2,"[0, 2068, 1491, 744, 0]",3,8.655,1158.281,29.352,1.174,0.5,0.0,1.674,96.17,38.61
2026-12-03,AM,2,18,28.882,4209.619,4,141.453,3,"[0, 1257, 380, 386, 2205, 0]",4,7.123,1054.478,38.61,1.544,0.667,0.0,2.211,79.15,35.15
2026-12-03,AM,2,18,28.882,4209.619,4,141.453,4,"[0, 418, 0]",1,4.239,505.552,29.148,1.166,0.167,0.0,1.333,47.1,16.85
2026-12-03,AM,3,18,18.669,2831.125,3,72.842,1,"[0, 1593, 1630, 1661, 536, 1483, 1508, 712, 742, 297, 1112, 0]",10,8.812,1322.543,13.287,0.531,1.667,0.0,2.198,97.91,44.08
2026-12-03,AM,3,18,18.669,2831.125,3,72.842,2,"[0, 302, 296, 828, 546, 1180, 1076, 0]",6,8.424,1297.601,28.873,1.155,1.0,0.0,2.155,93.6,43.25
