fecha,ventana,cluster_id_dia,n_nodos_cluster,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas_cluster,km_totales_cluster,ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
2026-12-02,AM,1,14,13.228,1900.203,2,94.415,1,"[0, 2100, 2137, 1795, 2017, 717, 1081, 859, 1064, 124, 0]",9,8.841,1310.877,41.116,1.72,1.5,0.0,3.22,98.24,43.7
2026-12-02,AM,1,14,13.228,1900.203,2,94.415,2,"[0, 777, 1489, 419, 439, 470, 0]",5,4.387,589.326,53.299,2.132,0.833,0.5,3.465,48.74,19.64
2026-12-03,AM,1,16,15.277,2104.609,2,61.059,1,"[0, 217, 215, 1408, 1240, 69, 99, 75, 351, 359, 88, 440, 466, 0]",12,8.81,1234.21,37.949,1.544,2.0,0.0,3.544,97.89,41.14
2026-12-03,AM,1,16,15.277,2104.609,2,61.059,2,"[0, 780, 860, 783, 1960, 0]",4,6.467,870.399,23.11,0.924,0.667,0.0,1.591,71.86,29.01
2026-12-03,AM,3,17,15.922,2375.985,2,49.038,1,"[0, 1593, 1630, 1661, 2158, 2160, 2166, 2177, 1924, 1939, 2191, 1968, 1583, 0]",12,8.723,1372.49,9.017,0.361,2.0,0.0,2.361,96.92,45.75
2026-12-03,AM,3,17,15.922,2375.985,2,49.038,2,"[0, 1549, 2068, 112, 2205, 1124, 0]",5,7.199,1003.495,40.021,1.601,0.833,0.0,2.434,79.99,33.45
2026-12-03,AM,5,18,15.598,2284.737,2,52.44,1,"[0, 878, 886, 596, 843, 845, 594, 610, 258, 828, 546, 569, 988, 0]",12,8.89,1321.976,26.205,1.048,2.0,0.0,3.048,98.78,44.07
2026-12-03,AM,5,18,15.598,2284.737,2,52.44,2,"[0, 1112, 297, 302, 296, 1034, 169, 0]",6,6.708,962.761,26.235,1.049,1.0,0.0,2.049,74.54,32.09
2026-12-03,AM,6,6,12.664,1824.827,2,61.868,1,"[0, 1180, 187, 1076, 1257, 0]",4,8.973,1247.718,33.514,1.341,0.667,0.0,2.007,99.69,41.59
2026-12-03,AM,6,6,12.664,1824.827,2,61.868,2,"[0, 380, 386, 0]",2,3.692,577.109,28.354,1.134,0.333,0.0,1.467,41.02,19.24
