fecha,ventana,cluster_id_dia,n_nodos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-02,AM,1,14,13.228,1900.203,2,94.415,0.106
2026-12-03,AM,1,18,17.583,2493.972,2,62.198,0.118
2026-12-03,AM,2,18,28.882,4209.619,4,141.453,0.064
2026-12-03,AM,3,18,18.669,2831.125,3,72.842,0.056
2026-12-03,PM,4,18,18.103,2579.202,3,67.423,0.055
2026-12-03,PM,5,12,11.092,1617.008,2,32.038,0.048
2026-12-04,AM,2,18,22.508,3255.082,3,90.51,0.047
2026-12-04,AM,3,18,23.955,3469.237,3,91.96,0.048
2026-12-04,AM,5,18,24.725,3494.16,3,47.801,0.047
2026-12-04,PM,1,18,16.588,2384.916,2,94.859,0.051
2026-12-04,PM,4,18,18.222,2842.042,3,73.04,0.047
2026-12-04,PM,6,12,12.638,1747.75,2,38.417,0.04
2026-12-05,AM,1,18,22.886,3236.233,3,98.949,0.042
2026-12-05,AM,2,18,23.942,3502.905,3,99.721,0.047
2026-12-05,AM,4,18,25.714,3408.032,3,66.9,0.045
2026-12-05,AM,6,18,24.156,3512.663,3,46.585,0.046
2026-12-05,PM,3,18,14.617,2023.45,2,50.731,0.046
2026-12-05,PM,5,18,18.049,2548.32,3,57.44,0.05
2026-12-05,PM,7,7,8.136,1115.195,1,13.394,0.041
2026-12-06,AM,1,18,16.039,2362.935,2,56.654,0.051
2026-12-06,AM,2,18,18.871,2771.783,3,75.419,0.05
2026-12-06,AM,3,18,20.509,2995.7,3,83.98,0.045
2026-12-06,AM,5,18,20.987,2983.689,3,68.864,0.049
2026-12-06,PM,4,18,17.78,2735.33,2,36.492,0.049
2026-12-06,PM,6,18,21.15,3094.913,3,30.645,0.049
2026-12-06,PM,7,5,4.621,683.584,1,18.836,0.04
2026-12-07,AM,1,18,20.79,3034.582,3,90.903,0.047
2026-12-07,AM,2,18,27.018,3712.685,4,130.021,0.05
2026-12-07,AM,3,18,29.621,4451.258,4,95.519,0.049
2026-12-07,AM,5,18,24.672,3490.811,3,70.461,0.049
2026-12-07,PM,4,18,24.611,3319.486,3,72.655,0.048
2026-12-07,PM,6,18,17.864,2802.088,3,67.218,0.048
2026-12-07,PM,7,5,5.07,734.959,1,15.158,0.047
2026-12-08,AM,1,18,19.813,3027.867,3,88.22,0.042
2026-12-08,AM,3,18,17.133,2618.052,2,64.856,0.047
2026-12-08,AM,4,18,23.405,3263.514,3,69.416,0.04
2026-12-08,AM,5,18,18.117,2776.18,3,72.636,0.046
2026-12-08,PM,2,18,15.397,2549.179,2,61.331,0.042
2026-12-08,PM,6,18,17.399,2751.329,2,46.969,0.044
2026-12-08,PM,7,18,18.044,2710.265,3,46.963,0.043
2026-12-08,PM,8,9,8.094,1222.169,1,20.282,0.037
2026-12-09,AM,2,18,21.409,2901.212,3,96.586,0.042
2026-12-09,AM,3,18,20.225,2745.812,3,92.762,0.042
2026-12-09,AM,4,18,20.898,3141.593,3,58.511,0.04
2026-12-09,PM,1,18,10.892,1788.203,2,61.422,0.056
2026-12-09,PM,5,18,20.073,3197.701,3,49.259,0.04
2026-12-09,PM,6,15,17.679,2384.45,2,26.669,0.043
2026-12-10,AM,1,18,16.479,2398.137,2,54.709,0.048
2026-12-10,AM,3,18,20.202,2992.144,3,81.378,0.041
2026-12-10,AM,4,18,19.204,3094.507,3,88.731,0.042
2026-12-10,AM,6,18,22.928,3382.393,3,58.805,0.045
2026-12-10,PM,2,18,18.135,2641.057,3,79.947,0.048
2026-12-10,PM,5,18,17.923,2584.245,2,42.201,0.044
2026-12-10,PM,7,18,17.049,2467.715,2,34.364,0.044
2026-12-10,PM,8,10,16.717,2253.179,2,37.849,0.037
2026-12-11,AM,2,18,27.296,4031.721,4,120.703,0.041
2026-12-11,AM,3,18,25.517,3393.612,3,89.432,0.041
2026-12-11,AM,4,18,23.479,3221.48,3,47.144,0.042
2026-12-11,PM,1,18,18.35,2640.09,3,82.993,0.049
2026-12-11,PM,5,18,21.078,3033.383,3,50.661,0.043
2026-12-11,PM,6,9,13.288,1797.503,2,31.111,0.036
2026-12-12,AM,1,18,17.363,2631.176,2,49.753,0.047
2026-12-12,AM,3,18,20.922,2889.038,3,79.218,0.052
2026-12-12,AM,4,18,23.523,3754.772,3,89.32,0.041
2026-12-12,AM,6,18,23.929,3480.481,3,52.551,0.04
2026-12-12,PM,2,18,13.716,1971.23,2,65.141,0.047
2026-12-12,PM,5,18,12.022,1825.697,2,35.341,0.05
2026-12-12,PM,7,18,15.523,2326.989,2,30.073,0.043
2026-12-12,PM,8,6,5.482,713.164,1,20.648,0.039
2026-12-13,AM,1,18,17.862,2593.331,3,88.017,0.048
2026-12-13,AM,3,18,21.708,3053.667,3,86.497,0.043
2026-12-13,AM,4,18,17.582,2625.155,2,63.764,0.042
2026-12-13,AM,5,18,27.381,3849.739,4,79.129,0.042
2026-12-13,AM,7,18,20.419,3393.606,3,42.447,0.042
2026-12-13,PM,2,18,18.54,2986.231,3,101.063,0.044
2026-12-13,PM,6,18,18.14,2556.081,3,45.056,0.043
2026-12-13,PM,8,18,16.51,2478.549,2,33.211,0.042
2026-12-13,PM,9,3,8.153,947.52,1,18.724,0.034
2026-12-14,AM,1,18,16.052,2659.158,2,62.294,0.045
2026-12-14,AM,2,18,21.386,2936.012,3,84.155,0.04
2026-12-14,AM,3,18,23.522,3477.027,3,82.91,0.041
2026-12-14,AM,4,18,24.388,3257.718,3,89.082,0.041
2026-12-14,PM,5,18,19.759,2692.279,3,66.015,0.045
2026-12-14,PM,6,18,19.686,2787.637,3,42.764,0.044
2026-12-14,PM,7,18,20.859,3097.282,3,50.432,0.042
2026-12-14,PM,8,2,2.15,386.337,1,14.32,0.037
2026-12-15,AM,1,18,25.201,3478.204,3,83.677,0.042
2026-12-15,AM,3,18,23.982,3324.758,3,81.751,0.043
2026-12-15,AM,4,18,22.367,3233.309,3,83.55,0.047
2026-12-15,AM,6,18,24.414,3519.664,3,49.106,0.041
2026-12-15,PM,2,18,19.675,2875.804,3,84.128,0.043
2026-12-15,PM,5,18,21.339,3094.31,3,45.348,0.043
2026-12-15,PM,7,18,20.204,2802.275,3,48.017,0.042
2026-12-15,PM,8,1,3.713,501.092,1,12.4,0.038
2026-12-16,AM,1,18,22.356,3010.772,3,90.219,0.041
2026-12-16,AM,2,18,27.224,3575.599,4,119.236,0.044
