fecha,ventana,cluster_id_dia,ruta_id,orden_visita,node_id,es_deposito,km_ruta,tiempo_total_h,volumen_ruta_m3,peso_ruta_kg,tipo,direccion_original,direccion_normalizada,lat,lon
2026-12-02,AM,1,1,0,0,1,60.901,4.269,6.315,918.021,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-02,AM,1,1,1,2100,0,60.901,4.269,6.315,918.021,cliente,Calle Santo Domingo 5170,CALLE SANTO DOMINGO 5170,-33.442098310000006,-70.70665943
2026-12-02,AM,1,1,2,777,0,60.901,4.269,6.315,918.021,cliente,Av. Pajaritos 4700,AV. PAJARITOS 4700,-33.4792076,-70.7426405
2026-12-02,AM,1,1,3,1489,0,60.901,4.269,6.315,918.021,cliente,Calle Arturo Prat 2535,CALLE ARTURO PRAT 2535,-33.49914056964457,-70.7238758170349
2026-12-02,AM,1,1,4,2017,0,60.901,4.269,6.315,918.021,cliente,Calle San Diego 1071,CALLE SAN DIEGO 1071,-33.459257552083336,-70.64931600624999
2026-12-02,AM,1,1,5,859,0,60.901,4.269,6.315,918.021,cliente,Av. Providencia 1687,AV. PROVIDENCIA 1687,-33.42649830229008,-70.61543438396947
2026-12-02,AM,1,1,6,439,0,60.901,4.269,6.315,918.021,cliente,Av. Las Condes 1523,AV. LAS CONDES 1523,-33.393217,-70.544274
2026-12-02,AM,1,1,7,470,0,60.901,4.269,6.315,918.021,cliente,Av. Las Condes 6424,AV. LAS CONDES 6424,-33.38904613999576,-70.54005416426546
2026-12-02,AM,1,1,8,419,0,60.901,4.269,6.315,918.021,cliente,Av. La Florida 777,AV. LA FLORIDA 777,-33.519235429031845,-70.58115079491817
2026-12-02,AM,1,1,9,0,1,60.901,4.269,6.315,918.021,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-02,PM,2,1,0,0,1,34.242,2.37,6.913,982.182,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-02,PM,2,1,1,2137,0,34.242,2.37,6.913,982.182,cliente,Calle Teatinos 1289,CALLE TEATINOS 1289,-33.436656955578805,-70.65568127045138
2026-12-02,PM,2,1,2,1795,0,34.242,2.37,6.913,982.182,cliente,Calle Huérfanos 7037,CALLE HUÉRFANOS 7037,-33.43969907361054,-70.65168277752262
2026-12-02,PM,2,1,3,1081,0,34.242,2.37,6.913,982.182,cliente,Av. Vicuña Mackenna 154,AV. VICUÑA MACKENNA 154,-33.44289517142857,-70.63342082571428
2026-12-02,PM,2,1,4,717,0,34.242,2.37,6.913,982.182,cliente,Av. Matta 5370,AV. MATTA 5370,-33.45799120274538,-70.64211682398948
2026-12-02,PM,2,1,5,124,0,34.242,2.37,6.913,982.182,cliente,Av. Departamental 4795,AV. DEPARTAMENTAL 4795,-33.5103234,-70.5845273
2026-12-02,PM,2,1,6,1064,0,34.242,2.37,6.913,982.182,cliente,Av. Tobalaba 8026,AV. TOBALABA 8026,-33.4554611,-70.5566262
2026-12-02,PM,2,1,7,0,1,34.242,2.37,6.913,982.182,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,1,1,0,0,1,37.949,3.544,8.81,1234.21,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,1,1,1,217,0,37.949,3.544,8.81,1234.21,cliente,Av. Independencia 4810,AV. INDEPENDENCIA 4810,-33.385127250000004,-70.68005207307692
2026-12-03,AM,1,1,2,215,0,37.949,3.544,8.81,1234.21,cliente,Av. Independencia 4637,AV. INDEPENDENCIA 4637,-33.38621719285714,-70.67873796428572
2026-12-03,AM,1,1,3,1408,0,37.949,3.544,8.81,1234.21,cliente,Avenida Vitacura 713,AVENIDA VITACURA 713,-33.4178406,-70.6052487
2026-12-03,AM,1,1,4,1240,0,37.949,3.544,8.81,1234.21,cliente,Avenida Kennedy 3695,AVENIDA KENNEDY 3695,-33.4055216,-70.5917304
2026-12-03,AM,1,1,5,69,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 4280,AV. APOQUINDO 4280,-33.4146429,-70.5862581
2026-12-03,AM,1,1,6,99,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 8832,AV. APOQUINDO 8832,-33.41052665057889,-70.57323806478458
2026-12-03,AM,1,1,7,75,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 5706,AV. APOQUINDO 5706,-33.4096712,-70.5703756
2026-12-03,AM,1,1,8,351,0,37.949,3.544,8.81,1234.21,cliente,Av. Kennedy 6395,AV. KENNEDY 6395,-33.3964731,-70.5674161
