fecha,ventana,cluster_id_dia,n_nodos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-02,AM,1,8,6.315,918.021,1,60.901,0.091
2026-12-02,PM,2,6,6.913,982.182,1,34.242,0.041
2026-12-03,AM,1,12,8.81,1234.21,1,37.949,0.102
2026-12-03,AM,11,9,8.944,1136.621,1,16.055,0.049
2026-12-03,AM,12,12,8.516,1371.264,1,11.111,0.05
2026-12-03,AM,2,6,8.773,1259.762,1,24.249,0.038
2026-12-03,AM,4,6,7.122,1104.336,1,39.483,0.037
2026-12-03,AM,6,6,8.316,1290.01,1,28.438,0.037
2026-12-03,AM,8,5,7.988,1160.855,1,28.177,0.041
2026-12-03,PM,10,3,5.641,803.161,1,27.452,0.035
2026-12-03,PM,13,3,3.319,404.192,1,19.136,0.038
2026-12-03,PM,3,5,7.692,1085.057,1,27.021,0.037
2026-12-03,PM,5,3,7.266,937.833,1,29.307,0.037
2026-12-03,PM,7,8,6.083,1008.593,1,30.93,0.038
2026-12-03,PM,9,6,5.859,935.032,1,22.278,0.038
2026-12-04,AM,1,8,6.853,971.878,1,29.317,0.038
2026-12-04,AM,10,7,8.818,1224.881,1,28.582,0.039
2026-12-04,AM,12,9,8.58,1255.143,1,17.332,0.043
2026-12-04,AM,14,8,8.767,1225.677,1,23.532,0.039
2026-12-04,AM,3,6,8.464,1212.243,1,33.151,0.04
2026-12-04,AM,5,7,8.554,1260.837,1,35.683,0.036
2026-12-04,AM,6,8,8.327,1140.002,1,34.778,0.039
2026-12-04,AM,9,9,7.706,1271.631,1,22.177,0.039
2026-12-04,PM,11,5,8.561,1188.375,1,7.499,0.036
2026-12-04,PM,13,6,8.56,1220.076,1,15.688,0.053
2026-12-04,PM,15,3,3.405,452.905,1,19.058,0.045
2026-12-04,PM,2,7,8.367,1219.257,1,26.369,0.053
2026-12-04,PM,4,8,6.857,975.783,1,25.465,0.041
2026-12-04,PM,7,6,8.049,1220.753,1,29.802,0.04
2026-12-04,PM,8,5,8.768,1353.746,1,19.681,0.04
2026-12-05,AM,1,6,6.964,963.155,1,26.492,0.042
2026-12-05,AM,12,10,8.984,1284.766,1,24.973,0.047
2026-12-05,AM,15,8,7.926,1361.172,1,26.394,0.041
2026-12-05,AM,2,5,7.607,1027.67,1,28.683,0.034
2026-12-05,AM,4,6,8.984,1331.159,1,24.331,0.038
2026-12-05,AM,5,5,6.385,884.86,1,25.967,0.036
2026-12-05,AM,6,7,8.573,1286.886,1,29.321,0.04
2026-12-05,AM,8,12,7.825,1070.781,1,36.468,0.044
2026-12-05,AM,9,11,8.781,1196.616,1,31.076,0.041
2026-12-05,PM,10,3,6.173,779.904,1,19.86,0.045
2026-12-05,PM,11,3,8.603,1188.423,1,5.678,0.049
2026-12-05,PM,13,7,5.688,905.654,1,7.523,0.052
2026-12-05,PM,14,4,8.641,1047.16,1,6.418,0.036
2026-12-05,PM,16,6,8.577,1100.809,1,10.661,0.036
2026-12-05,PM,17,6,8.11,1137.652,1,15.286,0.037
2026-12-05,PM,18,2,2.415,338.965,1,6.33,0.034
2026-12-05,PM,3,7,8.316,1245.408,1,24.249,0.038
2026-12-05,PM,7,7,8.948,1195.758,1,26.905,0.037
2026-12-06,AM,1,9,7.823,1183.165,1,29.928,0.037
2026-12-06,AM,10,6,8.744,1140.301,1,27.76,0.035
2026-12-06,AM,2,9,8.216,1179.77,1,29.63,0.042
2026-12-06,AM,4,8,8.316,1345.103,1,38.476,0.039
2026-12-06,AM,5,10,8.983,1359.002,1,31.078,0.038
2026-12-06,AM,6,7,8.372,1280.966,1,32.891,0.036
2026-12-06,AM,7,7,8.776,1183.431,1,33.434,0.037
2026-12-06,AM,8,11,8.991,1462.24,1,20.65,0.041
2026-12-06,PM,11,8,7.431,1167.279,1,16.865,0.038
2026-12-06,PM,12,7,8.265,1147.383,1,10.323,0.035
2026-12-06,PM,13,4,3.917,629.202,1,8.769,0.04
2026-12-06,PM,14,4,6.711,952.188,1,8.648,0.036
2026-12-06,PM,15,6,7.254,1035.951,1,13.922,0.037
2026-12-06,PM,16,3,3.677,543.919,1,18.605,0.036
2026-12-06,PM,3,6,7.092,936.489,1,36.79,0.036
2026-12-06,PM,9,8,7.39,1081.545,1,24.084,0.036
2026-12-07,AM,1,10,7.984,1210.869,1,32.425,0.038
2026-12-07,AM,10,4,8.613,1133.46,1,32.657,0.037
2026-12-07,AM,11,8,8.428,1336.478,1,31.6,0.036
2026-12-07,AM,15,6,8.304,1106.866,1,28.938,0.036
2026-12-07,AM,17,8,8.985,1306.85,1,19.071,0.038
2026-12-07,AM,18,9,8.614,1338.871,1,26.107,0.036
2026-12-07,AM,19,10,8.242,1290.4,1,14.917,0.037
2026-12-07,AM,2,4,8.287,1151.065,1,28.639,0.034
2026-12-07,AM,3,7,7.973,1206.982,1,30.562,0.035
2026-12-07,AM,8,6,7.742,1241.544,1,24.478,0.035
2026-12-07,PM,12,5,8.852,1159.923,1,14.507,0.035
2026-12-07,PM,13,4,5.897,744.907,1,5.332,0.053
2026-12-07,PM,14,4,7.975,1080.795,1,12.281,0.038
2026-12-07,PM,16,5,7.667,1202.031,1,17.232,0.038
2026-12-07,PM,20,1,2.236,284.037,1,6.33,0.037
2026-12-07,PM,4,3,4.05,586.058,1,12.319,0.036
2026-12-07,PM,5,4,8.084,986.918,1,32.855,0.038
2026-12-07,PM,6,7,8.115,1098.168,1,31.503,0.036
2026-12-07,PM,7,3,6.742,1060.812,1,18.871,0.034
2026-12-07,PM,9,5,6.858,1018.835,1,14.204,0.035
2026-12-08,AM,1,7,8.797,1273.851,1,24.373,0.036
2026-12-08,AM,12,11,8.645,1281.461,1,26.155,0.045
2026-12-08,AM,2,7,8.963,1435.462,1,29.024,0.037
2026-12-08,AM,3,11,8.023,1269.535,1,47.266,0.041
2026-12-08,AM,4,10,8.635,1402.667,1,26.089,0.038
2026-12-08,AM,5,9,8.876,1358.935,1,29.01,0.037
2026-12-08,AM,6,9,8.514,1366.991,1,33.87,0.04
2026-12-08,AM,7,5,8.812,1102.853,1,29.042,0.036
2026-12-08,AM,8,8,7.572,1148.169,1,31.569,0.037
2026-12-08,PM,10,9,7.556,1068.101,1,23.894,0.039
2026-12-08,PM,11,7,8.483,1392.235,1,28.317,0.037
2026-12-08,PM,13,4,7.429,1162.038,1,8.73,0.035
2026-12-08,PM,14,8,7.632,1222.539,1,8.73,0.038
2026-12-08,PM,15,8,5.937,938.27,1,8.345,0.037
2026-12-08,PM,16,7,7.896,1114.414,1,24.736,0.035
2026-12-08,PM,17,8,7.727,1168.781,1,20.282,0.037
2026-12-08,PM,9,7,7.907,1212.253,1,7.638,0.036
2026-12-09,AM,1,16,8.537,1487.748,1,32.03,0.067
2026-12-09,AM,10,9,8.365,1490.46,1,18.192,0.037
2026-12-09,AM,12,10,8.686,1235.864,1,15.864,0.039
2026-12-09,AM,2,8,8.993,1175.373,1,39.253,0.037
2026-12-09,AM,4,6,6.631,973.105,1,39.404,0.037
2026-12-09,AM,5,6,8.674,1133.278,1,28.427,0.036
2026-12-09,AM,6,9,8.74,1208.326,1,33.149,0.038
2026-12-09,PM,11,6,8.824,1261.662,1,15.763,0.035
2026-12-09,PM,13,5,8.625,1138.921,1,13.162,0.035
2026-12-09,PM,14,1,0.942,124.76,1,12.038,0.035
2026-12-09,PM,3,8,8.906,1198.689,1,27.006,0.037
2026-12-09,PM,7,7,8.392,1262.052,1,20.728,0.038
2026-12-09,PM,8,7,8.565,1252.658,1,23.023,0.035
2026-12-09,PM,9,7,8.296,1216.075,1,7.537,0.036
2026-12-10,AM,1,9,8.923,1271.71,1,30.164,0.037
2026-12-10,AM,10,9,8.31,1252.362,1,30.83,0.038
2026-12-10,AM,12,5,8.818,1239.72,1,23.419,0.036
2026-12-10,AM,15,12,8.841,1332.796,1,26.196,0.042
2026-12-10,AM,2,10,8.709,1311.685,1,32.907,0.04
2026-12-10,AM,3,8,7.957,1180.784,1,33.97,0.039
2026-12-10,AM,6,7,8.536,1217.37,1,27.349,0.042
2026-12-10,AM,7,9,8.68,1453.227,1,32.997,0.038
2026-12-10,AM,8,8,7.354,1303.153,1,28.56,0.036
2026-12-10,AM,9,6,7.245,1022.696,1,31.715,0.037
2026-12-10,PM,11,8,7.482,1115.792,1,18.807,0.037
2026-12-10,PM,13,6,7.013,1119.261,1,26.314,0.035
2026-12-10,PM,14,4,8.227,1094.607,1,16.175,0.035
2026-12-10,PM,16,9,8.497,1234.87,1,8.776,0.038
2026-12-10,PM,17,4,7.816,1016.53,1,7.316,0.035
